segment_id,position,element_id,element_name,data_type,requirement,min_len,max_len,repeat,description,notes
ISA,ISA-01,I01,Authorization Information Qualifier,ID,Mandatory,2,2,-,,
ISA,ISA-02,I02,Authorization Information,AN,Mandatory,10,10,-,,
ISA,ISA-03,I03,Security Information Qualifier,ID,Mandatory,2,2,-,,
ISA,ISA-04,I04,Security Information,AN,Mandatory,10,10,-,,
ISA,ISA-05,I05,Interchange ID Qualifier,ID,Mandatory,2,2,-,,
ISA,ISA-06,I06,Interchange Sender ID,AN,Mandatory,15,15,-,,
ISA,ISA-07,I05,Interchange ID Qualifier,ID,Mandatory,2,2,-,,
ISA,ISA-08,I07,Interchange Receiver ID,AN,Mandatory,15,15,-,,
ISA,ISA-09,I08,Interchange Date,DT,Mandatory,6,6,-,,
ISA,ISA-10,I09,Interchange Time,TM,Mandatory,4,4,-,,
ISA,ISA-11,I10,Interchange Control Standards Identifier,ID,Mandatory,1,1,-,,
ISA,ISA-12,I11,Interchange Control Version Number,ID,Mandatory,5,5,-,,
ISA,ISA-13,I12,Interchange Control Number,N0,Mandatory,9,9,-,,
ISA,ISA-14,I13,Acknowledgment Requested,ID,Mandatory,1,1,-,,
ISA,ISA-15,I14,Usage Indicator,ID,Mandatory,1,1,-,,
GS,GS-01,479,Functional Identifier Code,ID,Mandatory,2,2,-,,
GS,GS-02,142,Application Sender's Code,AN,Mandatory,2,15,-,,
GS,GS-03,124,Application Receiver's Code,AN,Mandatory,2,15,-,,
GS,GS-04,373,Date,DT,Mandatory,8,8,-,,the group date
GS,GS-05,337,Time,TM,Mandatory,4,8,-,,the group time
GS,GS-06,28,Group Control Number,N0,Mandatory,1,9,-,,
GS,GS-07,455,Responsible Agency Code,ID,Mandatory,1,2,-,,
GS,GS-08,480,Version / Release / Industry Identifier Code,AN,Mandatory,1,12,-,,
ST,ST-01,143,Transaction Set Identifier Code,ID,Mandatory,3,3,-,,
ST,ST-02,329,Transaction Set Control Number,AN,Mandatory,4,9,-,,
B4,B4-01,152,Special Handling Code,ID,Optional,2,3,-,,
B4,B4-02,71,Inquiry Request Number,N0,Optional,1,3,-,,
B4,B4-03,157,Shipment Status Code,ID,Optional,1,2,-,,
B4,B4-04,373,Date,DT,Optional,8,8,-,,the date of last reported status of cargo
B4,B4-05,161,Status Time,TM,Optional,4,4,-,,
B4,B4-06,159,Status Location,AN,Optional,3,5,-,,
